timestamp,gpu_name,gpu_utilization_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_memory_utilization_percent,gpu_power_draw_w,gpu_temperature_c
2026/06/11 16:55:45.445,NVIDIA GeForce RTX 4090,28.0,5700.0,24564.0,0.0,71.49,37.0
2026/06/11 16:55:46.469,NVIDIA GeForce RTX 4090,2.0,10328.0,24564.0,0.0,64.93,36.0
2026/06/11 16:55:47.509,NVIDIA GeForce RTX 4090,37.0,10470.0,24564.0,26.0,137.41,40.0
2026/06/11 16:55:48.592,NVIDIA GeForce RTX 4090,45.0,10470.0,24564.0,33.0,166.5,41.0
2026/06/11 16:55:49.673,NVIDIA GeForce RTX 4090,39.0,10484.0,24564.0,22.0,172.91,43.0
2026/06/11 16:55:50.755,NVIDIA GeForce RTX 4090,28.0,10490.0,24564.0,6.0,170.33,42.0
2026/06/11 16:55:51.836,NVIDIA GeForce RTX 4090,23.0,10490.0,24564.0,0.0,169.41,42.0
2026/06/11 16:55:52.916,NVIDIA GeForce RTX 4090,24.0,10490.0,24564.0,0.0,171.62,43.0
2026/06/11 16:55:53.957,NVIDIA GeForce RTX 4090,23.0,10490.0,24564.0,0.0,171.3,42.0
2026/06/11 16:55:54.997,NVIDIA GeForce RTX 4090,25.0,10490.0,24564.0,6.0,172.09,43.0
2026/06/11 16:55:56.082,NVIDIA GeForce RTX 4090,49.0,10490.0,24564.0,37.0,170.51,44.0
2026/06/11 16:55:57.178,NVIDIA GeForce RTX 4090,22.0,10490.0,24564.0,1.0,157.99,40.0
2026/06/11 16:55:58.273,NVIDIA GeForce RTX 4090,48.0,10490.0,24564.0,37.0,164.66,41.0
2026/06/11 16:55:59.303,NVIDIA GeForce RTX 4090,5.0,10490.0,24564.0,0.0,155.14,40.0
2026/06/11 16:56:00.364,NVIDIA GeForce RTX 4090,39.0,10490.0,24564.0,22.0,156.91,43.0
2026/06/11 16:56:01.444,NVIDIA GeForce RTX 4090,64.0,10490.0,24564.0,59.0,144.43,43.0
2026/06/11 16:56:02.530,NVIDIA GeForce RTX 4090,56.0,10490.0,24564.0,48.0,171.33,44.0
2026/06/11 16:56:03.620,NVIDIA GeForce RTX 4090,45.0,10490.0,24564.0,34.0,158.11,41.0
2026/06/11 16:56:04.682,NVIDIA GeForce RTX 4090,70.0,10490.0,24564.0,69.0,158.31,41.0
2026/06/11 16:56:05.778,NVIDIA GeForce RTX 4090,64.0,10490.0,24564.0,60.0,165.87,41.0
2026/06/11 16:56:06.861,NVIDIA GeForce RTX 4090,49.0,10490.0,24564.0,37.0,172.82,44.0
2026/06/11 16:56:07.959,NVIDIA GeForce RTX 4090,39.0,10490.0,24564.0,23.0,174.97,44.0
2026/06/11 16:56:09.020,NVIDIA GeForce RTX 4090,45.0,10490.0,24564.0,30.0,174.73,43.0
2026/06/11 16:56:10.062,NVIDIA GeForce RTX 4090,46.0,10490.0,24564.0,32.0,176.57,45.0
2026/06/11 16:56:11.144,NVIDIA GeForce RTX 4090,34.0,10490.0,24564.0,14.0,166.6,44.0
2026/06/11 16:56:12.226,NVIDIA GeForce RTX 4090,27.0,10490.0,24564.0,0.0,162.55,43.0
2026/06/11 16:56:13.292,NVIDIA GeForce RTX 4090,25.0,10490.0,24564.0,0.0,159.38,43.0
2026/06/11 16:56:14.371,NVIDIA GeForce RTX 4090,23.0,10490.0,24564.0,0.0,159.5,43.0
2026/06/11 16:56:15.456,NVIDIA GeForce RTX 4090,46.0,10490.0,24564.0,35.0,165.68,42.0
2026/06/11 16:56:16.479,NVIDIA GeForce RTX 4090,79.0,10490.0,24564.0,83.0,172.21,45.0
2026/06/11 16:56:17.560,NVIDIA GeForce RTX 4090,67.0,10490.0,24564.0,69.0,175.63,45.0
2026/06/11 16:56:18.639,NVIDIA GeForce RTX 4090,61.0,10490.0,24564.0,55.0,171.43,45.0
2026/06/11 16:56:19.719,NVIDIA GeForce RTX 4090,81.0,10490.0,24564.0,86.0,166.98,44.0
2026/06/11 16:56:20.761,NVIDIA GeForce RTX 4090,70.0,10490.0,24564.0,71.0,166.04,46.0
2026/06/11 16:56:21.824,NVIDIA GeForce RTX 4090,66.0,10490.0,24564.0,66.0,164.03,44.0
2026/06/11 16:56:22.906,NVIDIA GeForce RTX 4090,49.0,10490.0,24564.0,39.0,159.81,44.0
2026/06/11 16:56:23.968,NVIDIA GeForce RTX 4090,45.0,10490.0,24564.0,33.0,159.51,43.0
2026/06/11 16:56:25.052,NVIDIA GeForce RTX 4090,68.0,10490.0,24564.0,66.0,162.96,43.0
2026/06/11 16:56:26.144,NVIDIA GeForce RTX 4090,40.0,10490.0,24564.0,25.0,173.72,45.0
2026/06/11 16:56:27.227,NVIDIA GeForce RTX 4090,46.0,10490.0,24564.0,32.0,169.3,45.0
2026/06/11 16:56:28.311,NVIDIA GeForce RTX 4090,46.0,10492.0,24564.0,32.0,170.46,45.0
