timestamp,gpu_name,gpu_utilization_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_memory_utilization_percent,gpu_power_draw_w,gpu_temperature_c
2026/06/11 16:44:48.959,NVIDIA GeForce RTX 4090,29.0,5698.0,24564.0,0.0,70.82,37.0
2026/06/11 16:44:50.003,NVIDIA GeForce RTX 4090,0.0,8048.0,24564.0,0.0,65.7,36.0
2026/06/11 16:44:51.097,NVIDIA GeForce RTX 4090,25.0,8112.0,24564.0,0.0,141.22,39.0
2026/06/11 16:44:52.168,NVIDIA GeForce RTX 4090,26.0,8120.0,24564.0,12.0,152.76,39.0
2026/06/11 16:44:53.213,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,13.0,151.67,41.0
2026/06/11 16:44:54.292,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,12.0,152.8,41.0
2026/06/11 16:44:55.372,NVIDIA GeForce RTX 4090,50.0,8132.0,24564.0,39.0,149.25,42.0
2026/06/11 16:44:56.452,NVIDIA GeForce RTX 4090,57.0,8132.0,24564.0,52.0,149.45,42.0
2026/06/11 16:44:57.493,NVIDIA GeForce RTX 4090,59.0,8132.0,24564.0,53.0,150.71,42.0
2026/06/11 16:44:58.517,NVIDIA GeForce RTX 4090,61.0,8132.0,24564.0,54.0,148.98,41.0
2026/06/11 16:44:59.558,NVIDIA GeForce RTX 4090,23.0,8132.0,24564.0,0.0,152.58,41.0
2026/06/11 16:45:00.640,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,12.0,151.21,42.0
2026/06/11 16:45:01.690,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,149.27,42.0
2026/06/11 16:45:02.775,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,12.0,151.36,41.0
2026/06/11 16:45:03.859,NVIDIA GeForce RTX 4090,52.0,8132.0,24564.0,42.0,153.59,40.0
2026/06/11 16:45:04.906,NVIDIA GeForce RTX 4090,44.0,8132.0,24564.0,33.0,151.53,41.0
2026/06/11 16:45:05.969,NVIDIA GeForce RTX 4090,60.0,8132.0,24564.0,56.0,151.77,42.0
2026/06/11 16:45:07.033,NVIDIA GeForce RTX 4090,64.0,8132.0,24564.0,60.0,152.57,42.0
2026/06/11 16:45:08.115,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,9.0,153.45,41.0
2026/06/11 16:45:09.158,NVIDIA GeForce RTX 4090,31.0,8132.0,24564.0,15.0,152.12,42.0
2026/06/11 16:45:10.216,NVIDIA GeForce RTX 4090,30.0,8132.0,24564.0,14.0,152.76,42.0
2026/06/11 16:45:11.257,NVIDIA GeForce RTX 4090,56.0,8132.0,24564.0,48.0,151.99,42.0
2026/06/11 16:45:12.344,NVIDIA GeForce RTX 4090,42.0,8132.0,24564.0,28.0,151.08,42.0
2026/06/11 16:45:13.404,NVIDIA GeForce RTX 4090,66.0,8132.0,24564.0,64.0,151.0,44.0
2026/06/11 16:45:14.468,NVIDIA GeForce RTX 4090,55.0,8132.0,24564.0,48.0,149.55,43.0
2026/06/11 16:45:15.548,NVIDIA GeForce RTX 4090,0.0,8132.0,24564.0,0.0,144.39,40.0
2026/06/11 16:45:16.571,NVIDIA GeForce RTX 4090,32.0,8132.0,24564.0,17.0,139.5,43.0
2026/06/11 16:45:17.632,NVIDIA GeForce RTX 4090,62.0,8132.0,24564.0,55.0,140.37,42.0
2026/06/11 16:45:18.712,NVIDIA GeForce RTX 4090,45.0,8132.0,24564.0,32.0,149.3,44.0
2026/06/11 16:45:19.771,NVIDIA GeForce RTX 4090,19.0,8132.0,24564.0,0.0,133.59,42.0
2026/06/11 16:45:20.813,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,12.0,146.22,41.0
2026/06/11 16:45:21.893,NVIDIA GeForce RTX 4090,44.0,8132.0,24564.0,31.0,154.48,42.0
2026/06/11 16:45:22.937,NVIDIA GeForce RTX 4090,56.0,8132.0,24564.0,49.0,152.62,43.0
2026/06/11 16:45:24.019,NVIDIA GeForce RTX 4090,54.0,8132.0,24564.0,46.0,148.36,43.0
2026/06/11 16:45:25.100,NVIDIA GeForce RTX 4090,30.0,8132.0,24564.0,14.0,154.42,42.0
2026/06/11 16:45:26.180,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,14.0,152.97,42.0
2026/06/11 16:45:27.260,NVIDIA GeForce RTX 4090,33.0,8132.0,24564.0,18.0,152.6,43.0
2026/06/11 16:45:28.320,NVIDIA GeForce RTX 4090,52.0,8132.0,24564.0,42.0,152.39,44.0
2026/06/11 16:45:29.361,NVIDIA GeForce RTX 4090,53.0,8132.0,24564.0,45.0,149.78,43.0
2026/06/11 16:45:30.401,NVIDIA GeForce RTX 4090,59.0,8132.0,24564.0,53.0,152.4,44.0
2026/06/11 16:45:31.441,NVIDIA GeForce RTX 4090,58.0,8132.0,24564.0,52.0,150.26,44.0
2026/06/11 16:45:32.525,NVIDIA GeForce RTX 4090,51.0,8132.0,24564.0,42.0,152.97,41.0
2026/06/11 16:45:33.607,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,0.0,150.97,44.0
2026/06/11 16:45:34.688,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,150.06,44.0
2026/06/11 16:45:35.771,NVIDIA GeForce RTX 4090,30.0,8132.0,24564.0,14.0,150.82,43.0
